16169  0  0  0  0
16202  0  0  0  1
16430  0  0  0  2
16280  0  0  0  3
16662  0  0  0  4
16305  0  0  0  5
16300  0  0  0  6
16426  0  0  0  7
16202  0  0  1  0
16334  0  0  1  1
16483  0  0  1  2
16431  0  0  1  3
16298  0  0  1  4
16138  0  0  1  5
16329  0  0  1  6
16251  0  0  1  7
16393  0  0  2  0
16262  0  0  2  1
16397  0  0  2  2
16428  0  0  2  3
16332  0  0  2  4
16196  0  0  2  5
16273  0  0  2  6
16447  0  0  2  7
16547  0  0  3  0
16302  0  0  3  1
16561  0  0  3  2
16389  0  0  3  3
16353  0  0  3  4
16740  0  0  3  5
16311  0  0  3  6
16368  0  0  3  7
16530  0  0  4  0
16420  0  0  4  1
16282  0  0  4  2
16278  0  0  4  3
16469  0  0  4  4
16563  0  0  4  5
16322  0  0  4  6
16511  0  0  4  7
16170  0  0  5  0
16169  0  0  5  1
16431  0  0  5  2
16349  0  0  5  3
16598  0  0  5  4
16635  0  0  5  5
16506  0  0  5  6
16515  0  0  5  7
16197  0  0  6  0
16267  0  0  6  1
16347  0  0  6  2
16237  0  0  6  3
16372  0  0  6  4
16296  0  0  6  5
16388  0  0  6  6
16308  0  0  6  7
16324  0  0  7  0
16577  0  0  7  1
16228  0  0  7  2
16408  0  0  7  3
16208  0  0  7  4
16496  0  0  7  5
16357  0  0  7  6
16363  0  0  7  7
16621  0  1  0  0
16411  0  1  0  1
16421  0  1  0  2
16272  0  1  0  3
16395  0  1  0  4
16228  0  1  0  5
16483  0  1  0  6
16134  0  1  0  7
16175  0  1  1  0
16410  0  1  1  1
16127  0  1  1  2
16332  0  1  1  3
16340  0  1  1  4
16082  0  1  1  5
16582  0  1  1  6
16222  0  1  1  7
16316  0  1  2  0
16322  0  1  2  1
16484  0  1  2  2
16324  0  1  2  3
16389  0  1  2  4
16477  0  1  2  5
16412  0  1  2  6
16503  0  1  2  7
16421  0  1  3  0
16421  0  1  3  1
16456  0  1  3  2
16237  0  1  3  3
16463  0  1  3  4
16410  0  1  3  5
16601  0  1  3  6
16383  0  1  3  7
16279  0  1  4  0
16322  0  1  4  1
16428  0  1  4  2
16452  0  1  4  3
16542  0  1  4  4
16344  0  1  4  5
16551  0  1  4  6
16289  0  1  4  7
16283  0  1  5  0
16266  0  1  5  1
16346  0  1  5  2
16486  0  1  5  3
16312  0  1  5  4
16515  0  1  5  5
16426  0  1  5  6
16332  0  1  5  7
16418  0  1  6  0
16348  0  1  6  1
16419  0  1  6  2
16398  0  1  6  3
16473  0  1  6  4
16433  0  1  6  5
16591  0  1  6  6
16419  0  1  6  7
16288  0  1  7  0
16643  0  1  7  1
16326  0  1  7  2
16438  0  1  7  3
